Start time|End time|Protocol|Source IP|Destination IP|Source Port|Destination Port|Byte size|Packet count|Attack 
1568918748298911|1568918808291246|17|86.2.41.130|5642|200.19.107.255|19|21315|735|True
1568918748167638|1568918808149046|17|86.2.41.130|5642|200.19.107.238|19|21315|735|True
1568918727871665|1568918787844828|17|173.91.13.248|4040|200.19.107.238|19|21286|734|True
1568918727765152|1568918787733487|17|173.91.13.248|4040|200.19.107.255|19|21257|733|True
1568918727653736|1568918787618260|17|173.91.13.248|23516|200.19.107.238|19|19401|669|True
1568918727532517|1568918787502700|17|173.91.13.248|23516|200.19.107.255|19|19401|669|True
1568918688317599|1568918748257080|17|86.2.41.130|64340|200.19.107.238|19|19111|659|True
1568918688292750|1568918748229134|17|86.2.41.130|64340|200.19.107.255|19|19169|661|True
1568918688227678|1568918748221448|17|86.2.41.130|5642|200.19.107.255|19|21257|733|True
1568918688095181|1568918748083439|17|86.2.41.130|5642|200.19.107.238|19|21228|732|True
1568918667850492|1568918727793597|17|173.91.13.248|4040|200.19.107.238|19|21286|734|True
1568918667740151|1568918727684336|17|173.91.13.248|4040|200.19.107.255|19|21228|732|True
1568918667648036|1568918727562747|17|173.91.13.248|23516|200.19.107.238|19|19430|670|True
1568918667532230|1568918727444714|17|173.91.13.248|23516|200.19.107.255|19|19430|670|True
1568918628265104|1568918688225981|17|86.2.41.130|64340|200.19.107.238|19|19285|665|True
1568918628239521|1568918688201433|17|86.2.41.130|64340|200.19.107.255|19|19198|662|True
1568918628157773|1568918688143541|17|86.2.41.130|5642|200.19.107.255|19|21025|725|True
1568918628013578|1568918688009042|17|86.2.41.130|5642|200.19.107.238|19|20996|724|True
1568918607846674|1568918667773044|17|173.91.13.248|4040|200.19.107.238|19|20996|724|True
1568918607738127|1568918667662991|17|173.91.13.248|4040|200.19.107.255|19|20909|721|True
1568918607564791|1568918667558920|17|173.91.13.248|23516|200.19.107.238|19|19894|686|True
1568918607443869|1568918667442707|17|173.91.13.248|23516|200.19.107.255|19|19778|682|True
